uid,username,followers,post,comments,created at,hasZhuYilong
3212028235,朱家公子_,204,#朱一龙[超话]##朱一龙吴邪# [兔子]#朱一龙重启之极海听雷#  写尽千山落笔是你，望尽星辰美丽是你，书尽泛黄扉页是你，千山万水归处是你，铁马是你冰河也是你。 带上朱一龙吴邪朱一龙重启朱一龙重启之极海听雷的小尾巴。@朱一龙 ​,0,11分钟前,是
1892382363,成都猪猪,444,#朱一龙吴邪# [ok]#朱一龙重启之极海听雷# [赞]#重启之极海听雷#           团宠的千层套路                          ——by 吴小狗          那你们也只有宠着我呀  一个脑洞摸鱼 重启之极海听雷朱一龙吴邪@朱一龙 http://t.cn/A6y8HKWy ​,0,11分钟前,是
2509877080,wiildee,495,#朱一龙重启之极海听雷#  重启之极海听雷昨晚的更新，想一想就后怕的一点是，如果不是哑巴公主（女人皮俑）搭上吴邪的手刚好阻止了他，就这几秒的时间差，他很可能就点火同归于尽自毁了。 不过我觉得就算不阻止这一下，他按下打火之前说不准也会犹豫，然后得救（朱一龙塑造的吴邪，心理活动是很复杂的 ​,0,11分钟前,是
2931920637,北极星Polaris_D,330395,我看重启一唱歌就cue红日，就去仔细看了看歌词，对比了一下往下跳。 如果都是从吴邪嘴里唱出来的，那一首是回忆当年的热血，一首就是冷静后的遗书。 “我愿能一生陪伴你” “如果我最后总要合上眼”  #重启之极海听雷# ​,5,12小时前,否
6571217390,野味儿熊,56,#朱一龙吴邪#  👟 #朱一龙重启之极海听雷##朱一龙2020并肩前行#  👟 #朱一龙2020爱你不停#  铁三角合体，所向披靡。 一起挖土，一起走南闯北，一起乘风破浪呀[微风] 朱一龙吴邪 重启之极海听雷@朱一龙  http://t.cn/A6y8QIiG ​​​  ​,0,11分钟前,是
6896801998,龙哥的凉渡,279,#羡慕女皮俑# [酸] #朱一龙重启之极海听雷# [酸] #朱一龙吴邪#   我现在去当个群演还有机会吗？ 吴邪我不轻但你可以随便举。朱一龙吴邪 @朱一龙  http://t.cn/A6y13eqI ​​​,2,12分钟前,是
6590124086,二普·在减肥·浪里个浪里个浪,59133,#朱一龙2020爱你不停#💐#朱一龙2020并肩前行#[憧憬]#乘风破浪的铁三角#💐  我们的名姓与生平       六七十年的光阴       三行墓志铭    重启 朱一龙 吴邪@朱一龙 #朱一龙重启之极海听雷# 🎐#重启之极海听雷# 🎐 #朱一龙吴邪#  http://t.cn/A6y9m8C9 ​​​,2,12分钟前,是
2931920637,北极星Polaris_D,330395,我看重启一唱歌就cue红日，就去仔细看了看歌词，对比了一下往下跳。 如果都是从吴邪嘴里唱出来的，那一首是回忆当年的热血，一首就是冷静后的遗书。 “我愿能一生陪伴你” “如果我最后总要合上眼”  #重启之极海听雷# ​,5,12小时前,否
6571217390,野味儿熊,56,#朱一龙吴邪#  👟 #朱一龙重启之极海听雷##朱一龙2020并肩前行#  👟 #朱一龙2020爱你不停#  铁三角合体，所向披靡。 一起挖土，一起走南闯北，一起乘风破浪呀[微风] 朱一龙吴邪 重启之极海听雷@朱一龙  http://t.cn/A6y8QIiG ​​​  ​,0,11分钟前,是
6896801998,龙哥的凉渡,279,#羡慕女皮俑# [酸] #朱一龙重启之极海听雷# [酸] #朱一龙吴邪#   我现在去当个群演还有机会吗？ 吴邪我不轻但你可以随便举。朱一龙吴邪 @朱一龙  http://t.cn/A6y13eqI ​​​,2,12分钟前,是
6590124086,二普·在减肥·浪里个浪里个浪,59133,#朱一龙2020爱你不停#💐#朱一龙2020并肩前行#[憧憬]#乘风破浪的铁三角#💐  我们的名姓与生平       六七十年的光阴       三行墓志铭    重启 朱一龙 吴邪@朱一龙 #朱一龙重启之极海听雷# 🎐#重启之极海听雷# 🎐 #朱一龙吴邪#  http://t.cn/A6y9m8C9 ​​​,2,12分钟前,是
5301327742,该背毛概了,41,#朱一龙重启之极海听雷#  刘丧：那个 吴邪：那个什么呀 弹幕：那个，我是你的绯闻女友  233333@朱一龙 ​,0,12分钟前,是
2708359823,朱一龙工作室,1440985,#朱一龙吴邪##重启之极海听雷# 《重启》下周开始加更！！ 看看大家能在剧情里面发现哪些吴邪小细节[偷笑]@朱一龙 ​,7238,13小时前,是
2921329735,-温庾,387,#重启之极海听雷# ⚡#羡慕女皮俑# 今天也是想要魂穿女皮俑的一天 呜呜呜谁不羡慕能被吴邪拉手手的女皮俑呢 ​,0,13分钟前,否
5493053841,大庆大同检察,4927,#朱一龙[超话]# 【看剧普法两不误 #重启之极海听雷# 】 #张起灵救吴邪#  吴邪被人皮俑困住，被小哥及时出现一把拉出墓穴📢📢📢@高密普法 划重点，一起来普法。 #颜小江说法# 今天来说说见义勇为在法律上的规定。 戳图了解。你学会了吗？ ​​​#热剧普法# ​,15,52分钟前,是
6534795390,盼盼ingg,602,#朱一龙重启之极海听雷# ⚡#朱一龙吴邪#   铁三角十年再聚重启险途，好奇心逐秘探索雷声之境。#重启之极海听雷# @朱一龙  http://t.cn/A6y9jRGG ​​​,0,14分钟前,是
1654390461,你逻辑有问题,26,#羡慕女皮俑#演员姐姐真的很漂亮了，为了拍皮俑非常辛苦！ 说实话我都没想到女皮俑居然是用真人拍的，直接用个假人拍也行吧。当然假人就没有那么写实和飘逸了，总之，吹爆重启极海听雷的敬业程度！ 今晚上爱奇艺优酷重启等你！   #重启特化# [污]#朱一龙重启之极海听雷# [ok]#朱一龙吴邪# ​,2,30分钟前,是
1790942835,錦衣夜行焱十一,5439488,“他的眼睛就像亮起的星河，明明衣服脏脸脏空气脏，你就是觉得这个人有个干净透明的灵魂。”这个答主更新啦！！！！！！『如何评价朱一龙在《重启之极海听雷》中饰演的吴邪？ - 尘宴 的回答 - 知乎』http://t.cn/A6y8TgW5 ​,233,4小时前,是
1673194171,橘家猫,307,#吴邪大战皮俑# ⚡#朱一龙重启之极海听雷# ⚡️#朱一龙吴邪# ⚡️#重启官宣加更#  小邪挂在铁链上荡秋千[偷乐][偷乐] http://t.cn/zQBcSu0 ​,21,11小时前,是
5890321699,一年修改一次昵称烨,4509,#朱一龙重启之极海听雷#   ⚡ #朱一龙吴邪# ⚡#重启之极海听雷#   【朱一龙版《重启》吴邪个人向】@朱一龙   “绝望这种东西很神奇，有的人会因之而死，有的人却会向死而生。”  http://t.cn/A6yEQAbn ​,0,18分钟前,是
1664080805,男士健康,514823,#MH星运动# 近日网剧#重启之极海听雷#热播，片中饰演角色“坎肩”的青年演员#娃尔[超话]# 获得观众喜爱。今年23岁的娃尔已经在多部热门剧中带来精彩表现，私下里的他还是一位健身达人，拥有结实的肌肉线条及满满元气。高颜值，爱运动，这样的艺人你爱了吗！ ​,1,1小时前,否
1628018532,慧亚,880,#朱一龙重启之极海听雷# 我竟然有一丢丢羡慕被吴邪拉住的女皮俑[允悲] http://t.cn/A6yBkLKj ​,0,19分钟前,是
6121734092,厦州,133,#重启之极海听雷# 噗哈哈哈哈哈哈哈想想小娘惹就能懂现在观众的狗血点在哪里，父母辈的五角恋不带感吗[笑cry][笑cry]徐磊真有你的 ​,0,19分钟前,否
